,S,e_S,E,e_E,I,e_I,R,e_R,vac_num,e_vac
0,999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,895.15,9.318485213094808,3.8,1.9476481543988737,0.75,0.4330127018922193,0.25,0.4330127018922193,100.05,9.258554602816437
2,804.67,14.919375545466599,5.486666666666666,2.5696605915092268,0.5466666666666666,0.4978174587358521,0.4533333333333333,0.4978174587358521,88.79333333333334,12.480008903130727
3,724.99,21.846660309225,2.4166666666666665,2.167115338160129,4.1866666666666665,2.0277628614367655,0.6133333333333333,0.48698619647332414,78.95,11.605781605159843
4,643.48,29.663494961540405,11.323333333333334,6.19398543391535,4.8133333333333335,2.4532608684950103,1.6733333333333333,1.0392091009780253,70.91666666666667,10.906407393006294
5,571.12,36.898043308554996,19.223333333333333,9.62670533233233,4.306666666666667,2.512493228293807,2.91,1.573287428708859,63.73,10.320066214257865
6,509.3566666666667,42.54028822448459,13.86,8.30584533125116,13.86,7.111989876258258,3.95,1.8459414941974748,56.53333333333333,9.385923266016805
7,437.3833333333333,51.52406934843388,26.506666666666668,13.72746476553078,19.05,9.465419518788734,7.39,3.4396559905509925,50.696666666666665,8.487126853194917
8,371.76666666666665,60.0764420458543,43.62,20.70931191517478,19.316666666666666,10.080495468422612,12.353333333333333,5.717384794544519,43.27333333333333,8.112867694115454
9,319.61,66.10323668323662,38.13666666666666,18.361317732910365,35.74666666666667,17.74455284180347,17.2,8.025376419001589,36.36333333333334,7.60994889747771
10,259.89,74.45135705053784,44.166666666666664,18.50060059085169,49.16,23.343401637293564,26.13,12.091309551354092,31.346666666666668,6.862445304376243
11,205.47,81.05670299241143,57.54333333333334,20.99511345263199,52.486666666666665,23.754785248918214,38.596666666666664,18.33686602327549,25.25,6.522844471547669
12,164.67666666666668,84.52564969023045,50.373333333333335,15.94722407052574,68.00666666666666,29.03882382068683,51.45,23.676869866320313,19.59,6.424061539763351
13,127.95333333333333,86.81250575553933,42.28,11.94242856373862,80.26333333333334,30.431901937860477,68.36333333333333,30.909081549315296,15.646666666666667,5.727287510001766
14,96.77333333333333,88.30908950322666,40.02333333333333,10.126012157914005,81.29333333333334,27.82338265240628,88.53666666666666,38.525947821637764,12.233333333333333,5.187056540616803
