,S,e_S,E,e_E,I,e_I,R,e_R,vac_num,e_vac
0,999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,996.6566666666666,1.4624598759928045,2.3433333333333333,1.4624598759928038,0.72,0.4489988864128735,0.28,0.4489988864128735,0.0,0.0
2,995.2733333333333,2.0765248747740954,3.7266666666666666,2.07652487477409,0.56,0.49638694583963355,0.44,0.4963869458396348,0.0,0.0
3,994.47,2.5210645899434367,2.1866666666666665,2.1051893554315293,2.763333333333333,1.589755396978487,0.58,0.49355850717012256,0.0,0.0
4,990.7166666666667,4.624902401372626,4.556666666666667,3.3536232479050025,3.453333333333333,2.085143213839812,1.2733333333333334,0.8786100133481027,0.0,0.0
5,987.3333333333334,6.635426805329778,7.136666666666667,5.019759843746399,3.42,2.307292785928996,2.11,1.2101928221017775,0.0,0.0
6,985.1466666666666,7.988647500602902,5.57,4.370938114409767,6.373333333333333,3.930303918132653,2.91,1.4906039044628867,0.0,0.0
7,977.79,12.296309744526331,9.543333333333333,6.626320413489088,8.246666666666666,5.236330352026651,4.42,2.2928003256571046,0.0,0.0
8,969.0633333333334,17.13260017886628,16.083333333333332,10.236033845630281,8.38,5.625738470044029,6.473333333333334,3.2448865756585223,0.0,0.0
9,961.52,21.624282647061378,16.27,10.76462261298555,13.593333333333334,8.798936804460464,8.616666666666667,4.525084406824795,0.0,0.0
10,947.7366666666667,30.09851583642549,21.326666666666668,14.05749938249648,18.726666666666667,11.522960653504907,12.21,6.547205510750367,0.0,0.0
11,929.0,41.25158582810282,32.52,20.742780270092382,21.53,13.53030302690963,16.95,9.069040743099574,0.0,0.0
12,909.78,51.7607792316409,37.95666666666666,23.128801429290604,29.826666666666668,18.889237382406126,22.436666666666667,12.264827307748321,0.0,0.0
13,881.5433333333333,67.8282742585191,47.45666666666666,28.175073893228546,40.986666666666665,25.487771359789175,30.013333333333332,16.693706066126296,0.0,0.0
14,844.4733333333334,87.4682187362295,65.30666666666667,37.258457056381474,49.86333333333334,29.895450973164607,40.35666666666667,22.95988071010436,0.0,0.0
15,805.14,107.68528404568566,76.40333333333334,41.61194526682081,65.77666666666667,38.97409552795577,52.68,30.039933422030074,0.0,0.0
16,756.1633333333333,131.30114237465295,88.31,45.846271022479755,86.49333333333334,49.398886177276886,69.03333333333333,39.408529815538955,0.0,0.0
17,696.5133333333333,156.75701947777503,108.62666666666667,51.40817660861181,104.39333333333333,58.038481104254345,90.46666666666667,50.99616543318616,0.0,0.0
18,632.84,182.14741575621287,123.32333333333334,54.19100899185727,127.37666666666667,67.35360511674355,116.46,65.31228878753728,0.0,0.0
19,564.4666666666667,205.4532279836189,132.04666666666665,53.88844485498621,155.33,76.79189041385378,148.15666666666667,81.689445190646,0.0,0.0
20,494.12333333333333,225.45456627789895,138.71666666666667,51.83213021111735,180.40333333333334,83.9822639344496,186.75666666666666,100.24788005516906,0.0,0.0
21,424.9866666666667,242.29482004826727,139.48,49.69073957992574,203.93666666666667,88.54723403673066,231.59666666666666,120.08067006068136,0.0,0.0
22,360.47,252.6744462082912,133.65333333333334,46.72187020609892,223.18,89.30775031690511,282.69666666666666,140.95055157355324,0.0,0.0
23,302.17333333333335,258.47418302199725,122.81333333333333,46.68231451940754,236.67333333333335,87.51556026723986,338.34,162.04930648828255,0.0,0.0
24,252.66666666666666,260.63385982809075,107.80333333333333,46.97592988849597,242.09,82.99776241963797,397.44,181.54909271782847,0.0,0.0
25,212.35333333333332,259.4510650499541,89.82,48.08056710702707,239.82,78.39307537446577,458.00666666666666,198.5258168489821,0.0,0.0
26,179.82,256.8283751197805,72.84666666666666,48.57279576974016,229.15,74.50749962252125,518.1833333333333,212.65810523519244,0.0,0.0
27,154.52333333333334,253.95505400671894,57.83,46.75818395389909,212.90666666666667,72.87426126936424,574.74,223.30419999035695,0.0,0.0
28,134.97666666666666,250.89827179334833,44.843333333333334,44.14225627320027,192.17666666666668,72.27931093258215,628.0033333333333,230.9517193171671,0.0,0.0
29,120.33333333333333,248.3827467617042,34.19,40.91365582948234,169.13666666666666,71.61348561704159,676.34,235.5788567196414,0.0,0.0
30,109.12,246.4581890165822,25.856666666666666,36.93078375676437,146.80333333333334,71.34048398739357,718.22,238.214227674727,0.0,0.0
31,100.81333333333333,245.2322813624303,19.52,32.81538663493089,124.3,69.30937887472368,755.3666666666667,239.52487460711808,0.0,0.0
