,S,e_S,E,e_E,I,e_I,R,e_R,vac_num,e_vac
0,999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,997.1866666666666,1.3632640569196024,1.8133333333333332,1.3632640569196013,0.75,0.4330127018922193,0.25,0.4330127018922193,0.0,0.0
2,996.0866666666667,1.7661131208265164,2.9133333333333336,1.7661131208265093,0.57,0.49507575177946195,0.43,0.49507575177946195,0.0,0.0
3,995.31,2.1788146624560207,1.8766666666666667,1.7836635208344527,2.243333333333333,1.3943178340042217,0.57,0.49507575177946195,0.0,0.0
4,994.2366666666667,2.8473359868870802,1.85,1.8332575741922712,2.7533333333333334,1.6770476704282724,1.16,0.8292968909463801,0.0,0.0
5,993.2933333333333,3.5261814410996353,2.0166666666666666,2.1141717579757384,2.78,1.9540385530144133,1.91,1.1292622960735648,0.0,0.0
6,992.5266666666666,4.082804047329349,1.71,1.7849089612638502,3.0833333333333335,2.2737023160964185,2.68,1.4321080033759086,0.0,0.0
7,990.0166666666667,5.928720116704977,3.276666666666667,3.1177110549603886,3.1966666666666668,2.504260813538044,3.51,1.787894478616303,0.0,0.0
8,987.03,8.30396090228432,5.496666666666667,5.110445729636069,3.16,2.628256709937851,4.3133333333333335,2.230505672612277,0.0,0.0
9,984.65,10.181069033587125,5.366666666666666,5.2699356943156515,4.93,4.18709525407133,5.053333333333334,2.614795509319143,0.0,0.0
10,981.1933333333334,12.77664362116367,5.836666666666667,5.296224021780887,6.77,5.9118891509680145,6.2,3.229034943549955,0.0,0.0
11,976.02,16.831506171463097,8.63,7.661142212490251,7.45,6.47051002626532,7.9,4.450842616853579,0.0,0.0
12,970.1266666666667,21.440086028019774,11.066666666666666,9.771841632409357,9.086666666666666,7.710544007324573,9.72,5.7678650007317875,0.0,0.0
13,962.8,27.602536115364472,13.22,11.810091729815932,12.023333333333333,10.212220892418825,11.956666666666667,7.473160122881234,0.0,0.0
14,954.64,34.50493298066234,15.486666666666666,13.885357595523262,15.023333333333333,12.523422943517566,14.85,9.752307419272624,0.0,0.0
15,945.2033333333334,42.053878008520876,17.596666666666668,15.596388114631607,18.716666666666665,16.094814554866897,18.483333333333334,12.4213414018866,0.0,0.0
16,933.4166666666666,51.847626646635334,21.223333333333333,18.43204064183405,22.273333333333333,19.32041982520625,23.086666666666666,16.10256156295914,0.0,0.0
17,918.6933333333334,64.02191777473988,26.51,22.945367724227054,26.10333333333333,22.361708094170453,28.69333333333333,20.580880015738455,0.0,0.0
18,901.4366666666666,78.38536846177922,31.98,27.649947558720605,31.35333333333333,26.820797071592683,35.23,25.90515585747362,0.0,0.0
19,880.5533333333333,94.34578504393058,38.14,31.49508533088934,38.18,32.447510433519135,43.126666666666665,32.41764882830886,0.0,0.0
20,856.4166666666666,112.09705492216216,45.02,34.919043514964734,45.763333333333335,38.872792398911706,52.8,40.4244975231604,0.0,0.0
21,828.8533333333334,131.99643362185537,51.7,39.09991474841519,55.306666666666665,45.295245764747634,64.14,49.851984915347174,0.0,0.0
22,797.2366666666667,152.86757010199676,59.18,42.3558842822734,65.63666666666667,51.74615594955396,77.94666666666667,61.26372354193159,0.0,0.0
23,761.0166666666667,175.46117250137004,67.83666666666667,45.76669082300891,77.25666666666666,59.73539533271339,93.89,73.20745340013768,0.0,0.0
24,721.4066666666666,199.46587332729928,75.83,49.61687649714895,89.4,65.97474264191315,113.36333333333333,88.07128545798692,0.0,0.0
25,680.4966666666667,221.42660933641696,80.52,49.8201726211381,103.60666666666667,72.96646687958025,135.37666666666667,103.98000507576234,0.0,0.0
26,636.5,242.242901512786,84.90666666666667,48.89994501246627,117.45,79.65923779868004,161.14333333333335,122.04440225681067,0.0,0.0
27,591.3566666666667,262.26901479630067,89.14,49.50589594516328,128.67666666666668,82.7245154446707,190.82666666666665,141.56820484212628,0.0,0.0
28,545.8233333333334,279.5294476834635,90.67666666666666,49.09092369154293,140.93666666666667,85.6344127997358,222.56333333333333,160.88672823518488,0.0,0.0
29,501.60333333333335,294.4411304865919,89.75333333333333,48.66989989259845,150.61333333333334,87.08350679408561,258.03,181.27701389494112,0.0,0.0
30,459.14666666666665,307.25012365968047,86.67666666666666,47.844666601641435,158.6,87.36250149043734,295.57666666666665,201.11710715125363,0.0,0.0
31,420.00666666666666,317.32112014312713,81.59666666666666,46.65812528976656,163.12333333333333,86.50357288703295,335.2733333333333,220.10485067096755,0.0,0.0
32,383.37,325.4635664709647,75.77666666666667,46.32414908974464,164.91333333333333,85.32623173574596,375.94,237.8860996359393,0.0,0.0
33,351.37333333333333,331.57793546749895,68.63333333333334,46.49084736686234,162.90666666666667,83.33557436986656,417.08666666666664,253.95431181393417,0.0,0.0
34,323.1066666666667,336.73652700920684,60.263333333333335,45.23288614369958,158.17666666666668,81.78719615902945,458.4533333333333,269.15953352777404,0.0,0.0
35,299.08,340.9693831807583,52.29333333333334,42.5133777638156,150.68,80.69711436393916,497.94666666666666,282.4061327631223,0.0,0.0
36,278.79,344.1918252467172,44.31666666666667,40.593797418927075,141.17,79.30675318029358,535.7233333333334,293.2755248150714,0.0,0.0
37,262.0933333333333,346.6642149913308,36.986666666666665,38.37273105851195,129.78,77.38719704619538,571.14,302.9403358198883,0.0,0.0
38,248.14,348.8334756489596,30.65,35.33620664417725,117.35,75.29666327268427,603.86,311.28672806058836,0.0,0.0
39,236.74666666666667,350.79568006968896,25.346666666666668,32.0924677905718,104.80666666666667,72.74317348651276,633.1,318.23001639275543,0.0,0.0
40,227.31666666666666,352.5215403190121,20.823333333333334,28.99974923263228,92.48,69.44611532212103,659.38,324.2005689898359,0.0,0.0
41,220.08333333333334,353.86026864035216,16.663333333333334,25.612952235582323,80.78333333333333,65.73170003041824,682.47,329.2504352312993,0.0,0.0
42,214.16,354.9818789741246,13.156666666666666,22.674040712282007,70.12,62.03191866558163,702.5633333333334,333.5694919936308,0.0,0.0
43,209.51333333333332,355.9732805828112,10.57,20.001627433786506,59.53,56.51532918893188,720.3866666666667,337.3889108366715,0.0,0.0
44,205.87333333333333,356.7625035728328,8.286666666666667,16.84056082465451,50.54,52.008605698159855,735.3,340.6980628063505,0.0,0.0
45,203.3,357.3521372539976,6.213333333333333,13.77441428478501,42.67666666666667,47.632539181623414,747.81,343.6715979439286,0.0,0.0
46,201.12,357.83264095570325,4.753333333333333,11.497789159466938,35.723333333333336,42.67927040405239,758.4033333333333,346.13728584992924,0.0,0.0
47,199.47666666666666,358.1457470391381,3.8233333333333333,10.590819399628888,29.503333333333334,37.61821352601544,767.1966666666667,348.3863056850669,0.0,0.0
48,198.16666666666666,358.3872192041574,2.953333333333333,9.743262059267193,24.19333333333333,33.25501399120972,774.6866666666666,350.4086402410129,0.0,0.0
49,197.1,358.604447825177,2.3766666666666665,9.003783772515982,19.966666666666665,29.485457809269665,780.5566666666666,351.9317928077666,0.0,0.0
50,196.25333333333333,358.78247238248537,1.9133333333333333,8.234833871359447,16.386666666666667,25.999560680049104,785.4466666666667,353.21280717940516,0.0,0.0
51,195.53,358.9523864897218,1.57,7.706172850384291,13.583333333333334,23.310721186231493,789.3166666666667,354.24300941898946,0.0,0.0
52,195.02,359.08064033955753,1.2333333333333334,6.938219432166218,11.146666666666667,21.137923791664633,792.6,355.1796259171782,0.0,0.0
53,194.60333333333332,359.20630932036187,0.9266666666666666,5.735964512520013,9.096666666666666,19.051701294693398,795.3733333333333,355.95201074801594,0.0,0.0
54,194.3,359.3052601897166,0.72,4.70548615979263,7.246666666666667,16.729190722274108,797.7333333333333,356.6230721021224,0.0,0.0
55,194.06666666666666,359.3930191617837,0.5366666666666666,3.420816991434781,6.01,15.405515246170772,799.3866666666667,357.1277322689402,0.0,0.0
56,193.92333333333335,359.44821248067916,0.37666666666666665,2.267477796044663,4.876666666666667,13.793287820127913,800.8233333333334,357.5717440210037,0.0,0.0
57,193.77,359.50942097067036,0.2966666666666667,2.1514310482921744,3.9266666666666667,11.412330563425199,802.0066666666667,357.9334295026879,0.0,0.0
58,193.65333333333334,359.5590815923798,0.27,1.8575342078501067,3.0633333333333335,9.233597469146153,803.0133333333333,358.26824190200773,0.0,0.0
59,193.59333333333333,359.58480866441266,0.17666666666666667,1.2078033320408137,2.4966666666666666,8.045909243556979,803.7333333333333,358.52261977299133,0.0,0.0
60,193.52333333333334,359.61595643439165,0.13,0.7437069315261214,2.013333333333333,7.0322937620349455,804.3333333333334,358.75006465349776,0.0,0.0
61,193.48,359.6351339899926,0.11333333333333333,0.5661173808397768,1.55,5.908256934155792,804.8566666666667,358.9509847535671,0.0,0.0
62,193.45333333333335,359.64654104952666,0.07,0.5083633870897211,1.27,4.530316398074939,805.2066666666667,359.08220593928394,0.0,0.0
63,193.44333333333333,359.6510903485329,0.03666666666666667,0.27444894283312926,1.0533333333333332,3.9854513197657053,805.4666666666667,359.18779984230457,0.0,0.0
64,193.42333333333335,359.6597338071395,0.03,0.20599352740640473,0.8133333333333334,3.0992185394959724,805.7333333333333,359.2969183774829,0.0,0.0
65,193.40666666666667,359.6673388316239,0.03666666666666667,0.2489756793120348,0.6533333333333333,2.7128992281731064,805.9033333333333,359.36853969459037,0.0,0.0
66,193.39666666666668,359.67190510550336,0.02666666666666667,0.22939534045447008,0.5566666666666666,2.450875127151298,806.02,359.41780645927946,0.0,0.0
67,193.38666666666666,359.67625788879775,0.02,0.1620699437485761,0.43,1.9912558851137132,806.1633333333333,359.4787754358927,0.0,0.0
68,193.38,359.6792676816388,0.016666666666666666,0.12801909579781026,0.3466666666666667,1.620644590553058,806.2566666666667,359.51903629092516,0.0,0.0
69,193.37666666666667,359.68078642349286,0.01,0.09949874371066206,0.2833333333333333,1.4729976993268585,806.33,359.55131451110935,0.0,0.0
70,193.37,359.683888667072,0.01,0.09949874371066207,0.20666666666666667,1.1153275552749315,806.4133333333333,359.5868497162943,0.0,0.0
71,193.37,359.683888667072,0.006666666666666667,0.0813770374382246,0.15333333333333332,0.7894020240381661,806.47,359.61171064543123,0.0,0.0
72,193.37,359.683888667072,0.0,0.0,0.14666666666666667,0.7473211417382017,806.4833333333333,359.6176437860388,0.0,0.0
73,193.37,359.683888667072,0.0,0.0,0.10333333333333333,0.5347792898840484,806.5266666666666,359.63721899838026,0.0,0.0
74,193.37,359.683888667072,0.0,0.0,0.08,0.43235787645575874,806.55,359.6476342662817,0.0,0.0
75,193.37,359.683888667072,0.0,0.0,0.06333333333333334,0.354949135636205,806.5666666666667,359.65507395589776,0.0,0.0
76,193.37,359.683888667072,0.0,0.0,0.05,0.31754264805429416,806.58,359.66112328134653,0.0,0.0
77,193.37,359.683888667072,0.0,0.0,0.03333333333333333,0.24267032964268412,806.5966666666667,359.6687281219886,0.0,0.0
78,193.37,359.683888667072,0.0,0.0,0.016666666666666666,0.19075871903765979,806.6133333333333,359.67630422676206,0.0,0.0
79,193.37,359.683888667072,0.0,0.0,0.013333333333333334,0.18208667044996876,806.6166666666667,359.677684029589,0.0,0.0
80,193.37,359.683888667072,0.0,0.0,0.006666666666666667,0.11527744310527048,806.6233333333333,359.68074935358385,0.0,0.0
81,193.37,359.683888667072,0.0,0.0,0.006666666666666667,0.11527744310527048,806.6233333333333,359.68074935358385,0.0,0.0
82,193.37,359.683888667072,0.0,0.0,0.0033333333333333335,0.05763872155263524,806.6266666666667,359.6823143954801,0.0,0.0
83,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
84,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
85,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
86,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
87,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
88,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
89,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
90,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
91,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
92,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
93,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
94,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
95,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
96,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
97,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
98,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
99,193.37,359.683888667072,0.0,0.0,0.0,0.0,806.63,359.683888667072,0.0,0.0
