,S,e_S,E,e_E,I,e_I,R,e_R,vac_num,e_vac
0,999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,996.58,1.596955436656469,2.42,1.5969554366564715,0.7333333333333333,0.44221663871405215,0.26666666666666666,0.44221663871405215,0.0,0.0
2,995.52,2.037056700241795,3.48,2.0370567002417967,0.5433333333333333,0.4981186828680705,0.45666666666666667,0.4981186828680705,0.0,0.0
3,995.09,2.2305231075542213,1.49,1.5523852614605689,2.8266666666666667,1.6603078697103801,0.5933333333333334,0.49121165386103066,0.0,0.0
4,994.23,2.7719607981835956,1.29,1.3829557717680878,3.1466666666666665,1.9693879477870493,1.3333333333333333,0.9140872800534734,0.0,0.0
5,993.4266666666666,3.391846432582444,1.6633333333333333,1.68621535463956,2.7466666666666666,1.9120204554926261,2.1633333333333336,1.2449854974612702,0.0,0.0
6,992.7733333333333,3.9100667797650495,1.4566666666666668,1.5731461753088571,2.8866666666666667,2.1167165348456285,2.8833333333333333,1.5393902111622713,0.0,0.0
7,989.94,6.065454091272412,3.486666666666667,3.457815623900284,2.9633333333333334,2.33851567357492,3.61,1.8702673605663978,0.0,0.0
8,987.4466666666667,8.020836753246035,5.326666666666667,4.989985526587788,2.8866666666666667,2.4235969595257,4.34,2.1457865690697187,0.0,0.0
9,985.5666666666667,9.308717539071765,4.373333333333333,4.117518130567919,4.963333333333333,4.275744249705411,5.096666666666667,2.680918167759364,0.0,0.0
10,982.0766666666667,12.375141301101259,5.37,5.344757556085529,6.196666666666666,5.452643599413248,6.3566666666666665,3.509433319244323,0.0,0.0
11,976.5,17.409863104956724,9.066666666666666,9.054035318881606,6.54,5.706288928308253,7.8933333333333335,4.574781111946474,0.0,0.0
12,970.1066666666667,22.457558984795185,11.97,11.203381929875755,8.393333333333333,7.578827232641093,9.53,5.704597561032097,0.0,0.0
13,963.6533333333333,27.71689897677749,12.846666666666666,11.703410708943874,11.786666666666667,10.858536836159011,11.713333333333333,7.469347732938633,0.0,0.0
14,957.31,33.20673475868009,12.796666666666667,12.01396363496336,15.2,13.422121044504598,14.693333333333333,9.982616000939945,0.0,0.0
15,950.56,38.65979479166093,13.093333333333334,12.128119759010005,17.95,15.871804140256591,18.39666666666667,12.848319820981352,0.0,0.0
16,940.4833333333333,47.31162354244697,16.826666666666668,15.231435330336469,19.636666666666667,17.560504611833398,23.053333333333335,16.6127608248064,0.0,0.0
17,927.48,57.647864372122804,23.08,20.195715717283544,21.416666666666668,18.875108535375947,28.023333333333333,20.85831861765362,0.0,0.0
18,913.6466666666666,69.27579054442867,26.836666666666666,23.375414197162133,26.15,23.289786745839184,33.36666666666667,25.00957594380378,0.0,0.0
19,898.5666666666667,81.19297314970603,28.913333333333334,24.71394657992842,32.803333333333335,28.29837431530102,39.71666666666667,30.350558296164653,0.0,0.0
20,879.1633333333333,95.99362820289456,34.483333333333334,28.159954821617813,38.22666666666667,32.871699411837874,48.126666666666665,37.293394708565884,0.0,0.0
21,855.52,114.24186156279725,43.04666666666667,34.439383785944194,43.81666666666667,37.02750854282378,57.61666666666667,45.07855797259811,0.0,0.0
22,828.66,133.10736668819905,50.50333333333333,38.692591739964314,52.223333333333336,42.5587451517181,68.61333333333333,54.369327954483886,0.0,0.0
23,800.04,152.4400157438984,55.48,40.56907196375091,63.02333333333333,50.918982598721364,81.45666666666666,64.18464085918235,0.0,0.0
24,770.07,171.43921692541642,58.59,40.94014207759095,74.55666666666667,58.431157118631674,96.78333333333333,75.93529957945923,0.0,0.0
25,736.4933333333333,191.3437829899076,63.54666666666667,41.85555903607336,84.63,63.688825027106084,115.33,90.20366455970621,0.0,0.0
26,700.6166666666667,210.36077673579953,69.45333333333333,43.12177897793902,93.45666666666666,67.77837503379841,136.47333333333333,105.48786323027352,0.0,0.0
27,662.5733333333334,228.78954948938465,73.92,43.94170683985772,103.47666666666667,71.4501886320502,160.03,122.00470933533668,0.0,0.0
28,624.3533333333334,245.9585503471853,76.26333333333334,43.33590492369525,113.50666666666666,74.32283154515096,185.87666666666667,139.10377944382225,0.0,0.0
29,585.62,261.0530002381381,76.95333333333333,41.271351914965045,123.16,76.77695661242808,214.26666666666668,156.42645414237185,0.0,0.0
30,546.17,273.9519077624149,78.18333333333334,41.409295118635136,130.88666666666666,77.51133565844134,244.76,174.13675392250394,0.0,0.0
31,507.61333333333334,285.1480735025614,78.00666666666666,41.99484042382137,137.03333333333333,76.83431669652708,277.3466666666667,191.69240940168243,0.0,0.0
32,470.71,294.32471733331084,75.46,41.10014274103356,142.16666666666666,75.82685686629914,311.66333333333336,208.35632137172033,0.0,0.0
33,436.74,301.7104225356935,70.87333333333333,40.231048816665066,145.57,74.96251352064803,346.81666666666666,223.91631559332353,0.0,0.0
34,404.87,307.58157687568576,65.84,39.43924948575973,145.95333333333335,73.33556087525952,383.33666666666664,238.2990767688555,0.0,0.0
35,375.47,311.7067998937462,61.27,39.74171318233104,143.27,71.53421395854339,419.99,251.88707105897004,0.0,0.0
36,349.31333333333333,314.57723241766166,55.556666666666665,40.00391800256013,139.19,70.05093789522017,455.94,263.5779512781751,0.0,0.0
37,325.4,316.8249674504839,50.07,38.88570988593796,133.23666666666668,69.0686179743658,491.29333333333335,273.85375772886937,0.0,0.0
38,305.1766666666667,318.6831636420237,44.13666666666666,36.625191542919715,126.37666666666667,68.94124156764869,524.31,282.23577714386244,0.0,0.0
39,287.57,319.89219814389537,37.83,34.49214065068543,118.53333333333333,68.35311908676074,556.0666666666667,289.1340557980365,0.0,0.0
40,272.4033333333333,320.58235653607363,32.77333333333333,33.35368978422362,108.62,66.42942821772091,586.2033333333334,294.9940824076909,0.0,0.0
41,259.51666666666665,320.74775611928385,28.053333333333335,31.551500052383485,98.91,64.50789538240004,613.52,299.63993325322963,0.0,0.0
