,S,e_S,E,e_E,I,e_I,R,e_R,vac_num,e_vac
0,999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,989.01,3.01605150265487,0.0,0.0,0.7466666666666667,0.4349201714746698,0.25333333333333335,0.4349201714746698,9.99,3.016051502654866
2,981.42,5.934947346017484,0.0,0.0,0.5633333333333334,0.49597266949791635,0.43666666666666665,0.49597266949791635,7.59,5.193768702332954
3,975.7033333333334,9.861811305344595,0.0,0.0,0.4033333333333333,0.4905665658761871,0.5966666666666667,0.4905665658761871,5.716666666666667,5.481762692986827
4,971.5166666666667,13.640004480285993,0.0,0.0,0.2833333333333333,0.4506168611531931,0.7166666666666667,0.4506168611531931,4.1866666666666665,5.4287956511755295
5,968.8766666666667,16.584172843072064,0.0,0.0,0.23,0.42083250825001683,0.77,0.42083250825001683,2.64,4.432125148654241
6,966.6366666666667,19.564372097145245,0.0,0.0,0.16666666666666666,0.3726779962499654,0.8333333333333334,0.3726779962499654,2.24,4.3812935684947405
7,964.97,22.092738626073498,0.0,0.0,0.12333333333333334,0.3288194371113454,0.8766666666666667,0.3288194371113454,1.6666666666666667,3.9058360891818724
8,963.8666666666667,24.03252425822602,0.0,0.0,0.1,0.3000000000000008,0.9,0.3000000000000008,1.1033333333333333,3.1894600727326132
9,962.89,25.95980033307907,0.0,0.0,0.08,0.2712931993250099,0.92,0.2712931993250099,0.9766666666666667,3.1020620382076376
10,962.2166666666667,27.40577291172226,0.0,0.0,0.05,0.21794494717703333,0.95,0.21794494717703333,0.6733333333333333,2.406925193870578
11,961.7366666666667,28.500654768307033,0.0,0.0,0.043333333333333335,0.20360637405433976,0.9566666666666667,0.20360637405433976,0.48,2.1686247562299297
12,961.3833333333333,29.405833699379368,0.0,0.0,0.03333333333333333,0.1795054935711505,0.9666666666666667,0.1795054935711505,0.35333333333333333,1.7856340299425502
13,961.0733333333334,30.262979951676197,0.0,0.0,0.023333333333333334,0.1509598916563234,0.9766666666666667,0.1509598916563234,0.31,1.7167508069994661
14,960.8633333333333,30.90207094822106,0.0,0.0,0.02,0.13999999999999987,0.98,0.13999999999999987,0.21,1.460331012704531
15,960.7166666666667,31.363084280018686,0.0,0.0,0.02,0.13999999999999987,0.98,0.13999999999999987,0.14666666666666667,1.057586350559092
16,960.5533333333333,31.903716955169294,0.0,0.0,0.02,0.13999999999999987,0.98,0.13999999999999987,0.16333333333333333,1.2151771704387575
17,960.38,32.5227448616093,0.0,0.0,0.016666666666666666,0.12801909579781026,0.9833333333333333,0.12801909579781026,0.17333333333333334,1.236913721952976
18,960.25,33.01566547363034,0.0,0.0,0.013333333333333334,0.1146976702272345,0.9866666666666667,0.1146976702272345,0.13,1.0229532410297877
19,960.1266666666667,33.503392199729404,0.0,0.0,0.01,0.09949874371066271,0.99,0.09949874371066271,0.12333333333333334,1.0777084742895724
20,960.04,33.881338029462015,0.0,0.0,0.01,0.09949874371066271,0.99,0.09949874371066271,0.08666666666666667,0.8789134706493531
21,959.97,34.18648514642394,0.0,0.0,0.006666666666666667,0.08137703743822496,0.9933333333333333,0.08137703743822496,0.07,0.751731334986107
22,959.9133333333333,34.44714534213572,0.0,0.0,0.006666666666666667,0.08137703743822496,0.9933333333333333,0.08137703743822496,0.056666666666666664,0.7211949959769716
23,959.8633333333333,34.68128201526324,0.0,0.0,0.0033333333333333335,0.05763872155263505,0.9966666666666667,0.05763872155263505,0.05,0.6116916434500843
24,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.023333333333333334,0.4034710508684462
25,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
26,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
28,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
29,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
30,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
31,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
32,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
33,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
34,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
35,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
36,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
37,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
38,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
39,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
40,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
41,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
43,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
44,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
45,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
46,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
47,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
48,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
49,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
51,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
53,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
54,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
55,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
57,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
58,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
60,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
61,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
62,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
63,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
65,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
66,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
68,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
69,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
70,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
71,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
73,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
74,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
75,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
76,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
77,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
78,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
79,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
80,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
81,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
82,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
83,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
84,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
85,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
86,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
87,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
88,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
89,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
90,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
91,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
92,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
93,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
94,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
95,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
96,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
97,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
98,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
99,959.84,34.78765681483401,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
