,S,e_S,E,e_E,I,e_I,R,e_R,vac_num,e_vac
0,999.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1,995.6133333333333,1.8647132636294406,3.3866666666666667,1.8647132636294388,0.76,0.4270831300812527,0.24,0.4270831300812527,0.0,0.0
2,994.6,2.147867159144939,4.4,2.147867159144935,0.5833333333333334,0.4930066485916357,0.4166666666666667,0.4930066485916357,0.0,0.0
3,994.1666666666666,2.402544946972322,1.4466666666666668,1.402553227352016,3.8066666666666666,1.9207521674825454,0.58,0.49355850717012256,0.0,0.0
4,991.81,4.152176136276813,2.79,2.6606828697410236,3.87,2.0428166829160195,1.53,0.9429209935090007,0.0,0.0
5,990.2933333333333,5.110833808902635,3.8733333333333335,3.376974319647034,3.38,2.0401633921494273,2.453333333333333,1.3245712094443578,0.0,0.0
6,989.2533333333333,5.647048393236548,2.5566666666666666,2.1071597524208316,4.933333333333334,3.435436249186154,3.256666666666667,1.5633688695321484,0.0,0.0
7,983.9,8.90524190201105,6.3933333333333335,4.781766293838385,5.256666666666667,3.753769956841905,4.45,2.2032173444003824,0.0,0.0
8,979.8033333333333,11.657815213647686,9.45,6.916706827192647,4.966666666666667,3.5607427439916077,5.78,2.9952629266894077,0.0,0.0
9,976.9966666666667,13.664430304829965,6.903333333333333,5.995052589890731,9.033333333333333,6.126354725464583,7.066666666666666,3.6817870057290873,0.0,0.0
10,968.3133333333334,19.214798694987383,11.49,8.753469788223027,10.83,7.6638393337369335,9.366666666666667,4.9056656587618725,0.0,0.0
11,956.77,26.745288058522256,20.226666666666667,14.262373185725044,10.78,8.038963448936267,12.223333333333333,6.531982003105093,0.0,0.0
12,945.3366666666667,35.00652304293525,22.976666666666667,17.7798422065239,16.75,11.90045517336767,14.936666666666667,8.1530764473023,0.0,0.0
13,931.6566666666666,44.122845052824445,25.113333333333333,18.85701873456023,24.156666666666666,16.982896952195432,19.073333333333334,10.88521729482492,0.0,0.0
14,915.5133333333333,54.67250822447746,29.823333333333334,21.27342917559106,29.563333333333333,21.666548461216024,25.1,14.70906749820215,0.0,0.0
15,898.1233333333333,66.24586620226873,33.53333333333333,23.95959561892107,35.71666666666667,25.399797680734032,32.626666666666665,19.742524886368734,0.0,0.0
16,873.1833333333333,80.4579583108816,42.33,27.555418704857313,42.843333333333334,29.63126933194429,41.64333333333333,25.994924932036685,0.0,0.0
17,842.22,98.73877117593341,55.903333333333336,34.65228211179685,49.583333333333336,34.24017701797439,52.29333333333334,33.12733949809768,0.0,0.0
18,812.4433333333334,115.32675371405468,60.74,37.11314771524146,62.11,40.136075626133,64.70666666666666,41.37745709387608,0.0,0.0
19,775.4666666666667,132.7058736035782,66.75333333333333,36.57712156830034,77.49333333333334,48.29696286747462,80.28666666666666,51.564436926582985,0.0,0.0
20,726.9033333333333,154.04547160569902,85.54,42.693735684133664,87.98666666666666,53.583888955128636,99.57,63.087017417743446,0.0,0.0
21,675.9566666666667,174.688851358319,99.51,46.7698253863179,102.97,58.553756782407504,121.56333333333333,75.95388505899847,0.0,0.0
22,622.0166666666667,193.2714577709002,104.88666666666667,45.45430477107997,125.81,66.51296039118994,147.28666666666666,89.87983360514684,0.0,0.0
23,564.43,210.60960353222268,111.52666666666667,44.47519108696693,145.45333333333335,71.85787701351109,178.59,105.93797823884191,0.0,0.0
24,508.67,223.14339433049176,113.34666666666666,41.84263960231103,162.91,74.4690667324359,215.07333333333332,123.20982626758662,0.0,0.0
25,452.0833333333333,232.77834175216768,112.34666666666666,40.02682211828575,179.64666666666668,75.9222968274509,255.92333333333335,140.46986909021527,0.0,0.0
26,396.4266666666667,238.8939470885681,112.24333333333334,39.93140938604041,190.76,73.90166258842441,300.57,157.4006938781826,0.0,0.0
27,346.23333333333335,240.85071217572838,105.85,40.614293460964355,199.62,71.58846927636695,348.2966666666667,173.5291771496143,0.0,0.0
28,301.6333333333333,241.3444955982124,94.79333333333334,41.110063109765335,205.21666666666667,68.44537765417195,398.3566666666667,187.46988057344635,0.0,0.0
29,261.5933333333333,239.34703108434184,84.64,42.05738619236022,203.90666666666667,65.36317481749356,449.86,199.72110654610347,0.0,0.0
30,226.67666666666668,236.0943006277129,74.95666666666666,43.78486940586769,196.95,64.06356869027304,501.4166666666667,209.51904381755435,0.0,0.0
31,198.04,232.90884855095845,63.553333333333335,43.743043129419114,187.18,63.92621475837073,551.2266666666667,216.29045738440598,0.0,0.0
32,174.06,229.9410425884573,52.61666666666667,42.01193944053948,175.59,65.59544115256793,597.7333333333333,220.6423853710393,0.0,0.0
33,155.47,227.08118027113852,42.57,38.92572114510746,160.13666666666666,67.07511701236325,641.8233333333334,223.23882306225826,0.0,0.0
34,140.58333333333334,224.9486083284112,33.47666666666667,35.58917610110629,144.08666666666667,68.10579384718716,681.8533333333334,223.94938078850663,0.0,0.0
35,129.20333333333335,223.46102267633955,26.266666666666666,31.637460215524385,126.46,66.91010187806721,718.07,223.67431330694487,0.0,0.0
36,120.61666666666666,222.4387325135221,19.966666666666665,27.19961192533616,109.69666666666667,64.78223513347535,749.72,222.48231749961613,0.0,0.0
37,114.04,221.91353811788954,15.163333333333334,23.381830315201775,93.92,61.28523693897796,776.8766666666667,221.16329138343804,0.0,0.0
38,109.15,221.4222681514517,11.466666666666667,20.10229395422876,79.16,57.693914179342464,800.2233333333334,220.37861387974,0.0,0.0
39,105.45666666666666,221.0097315856376,8.583333333333334,17.639058616856182,65.74,52.91274956630649,820.22,219.51682911947012,0.0,0.0
40,102.81,220.93842407633247,6.34,14.604944368261025,54.33,48.088402274699604,836.52,218.99799755553317,0.0,0.0
41,100.98,220.90050460180782,4.476666666666667,11.120976675734124,44.096666666666664,42.322027230378374,850.4466666666667,218.50536337175384,0.0,0.0
42,99.5,220.82165503712113,3.31,10.110748406192952,35.76,37.360082084135385,861.43,218.33666305349024,0.0,0.0
43,98.55333333333333,220.80834937917447,2.4266666666666667,9.087241361136805,28.716666666666665,32.599433362491986,870.3033333333333,218.4234373616734,0.0,0.0
44,97.86,220.82656935553152,1.64,7.008356916329723,22.89666666666667,28.52003954337293,877.6033333333334,218.59600329273087,0.0,0.0
45,97.31333333333333,220.86711349185106,1.24,5.792155614852435,18.1,24.136625005718308,883.3466666666667,218.75842038396806,0.0,0.0
46,96.98333333333333,220.89950140781713,0.8766666666666667,4.565974400083966,14.403333333333334,21.016199836211005,887.7366666666667,219.03244962536692,0.0,0.0
47,96.76333333333334,220.93266090724472,0.55,3.09959674796576,11.39,18.245855237103385,891.2966666666666,219.30098492457543,0.0,0.0
48,96.53666666666666,220.97136011005796,0.44666666666666666,2.4345750256575753,8.92,15.660574702098263,894.0966666666667,219.56536002343833,0.0,0.0
49,96.39,220.99954275970794,0.37333333333333335,2.2287415482484483,6.93,12.955504621588478,896.3066666666666,219.80231866131166,0.0,0.0
50,96.31666666666666,221.01557197526964,0.22,1.2980498192801926,5.47,11.167621352224776,897.9933333333333,220.02066559505013,0.0,0.0
51,96.26666666666667,221.02648911134818,0.12333333333333334,0.6986574426872038,4.196666666666666,8.979865750048228,899.4133333333333,220.2075441234676,0.0,0.0
52,96.21666666666667,221.0379976132812,0.1,0.6244997998398417,3.28,7.101755651480367,900.4033333333333,220.36032762021551,0.0,0.0
53,96.19,221.04418992590598,0.07666666666666666,0.4367938746009247,2.513333333333333,5.577020311560231,901.22,220.5008048360216,0.0,0.0
54,96.18,221.0464828944355,0.03666666666666667,0.27444894283312976,1.8733333333333333,4.286096385083079,901.91,220.6298149238523,0.0,0.0
